Slowo1;Slowo2;Relacja
STÓŁ;GORĄCO;Niepowiązane
MARMUR;GORYWAR;Nie-słowo
SLAB;KĄPIEL ;Nie-słowo
PLAŻA;PIASEK;Powiązane
TUKET;BŁYSKAWICZNY;Nie-słowo
ŚRODA ;WTOREK;Powiązane
SĄSIAD;OKNO;Niepowiązane
POLE;ŻYTO;Powiązane
KRUT;PSY;Nie-słowo
ONIKA;KRZESŁO;Nie-słowo
CHIPAJ;WTOREK;Nie-słowo
TELEFON;CZERWIEŃ;Niepowiązane
UCZEŃ;BRAMA;Niepowiązane
PORANEK ;BUDZIK;Powiązane
MAŁPA;CZIWT;Nie-słowo
KOLIEK;BRAMA;Nie-słowo
LICUM;PSZCZOŁA;Nie-słowo
ZNAJOMY;OGRÓD;Niepowiązane
SMEP;DELFIN;Nie-słowo
UCZUCIE;KOKTAŁ;Nie-słowo
PIĄTEK;SOBOTA;Powiązane
INPAS;ZMARTWIENIE;Nie-słowo
RAPEL;PTAK;Nie-słowo
HOLWOT;WIEŚ;Nie-słowo
PLAŻA;MROŹNO;Niepowiązane
KREDA;TŁINS;Nie-słowo
PODUSZKA;KOŁDRA;Powiązane
ZESZYT;TĘCZA;Niepowiązane
CZAJNIK;UMOP;Nie-słowo
KARNISZ;GLIWS;Nie-słowo
DENTRIA;TRAWA;Nie-słowo
TĘCZA;SŁOŃCE;Powiązane
MITAL;FURTKA;Nie-słowo
WIATR;PODMUCH;Powiązane
NAUCZYCIEL;UCZEŃ;Powiązane
CUKIERNIA;RADIO;Niepowiązane
TYRTWA;KOŁDRA;Nie-słowo
JESIEŃ;WRZESIEŃ;Powiązane
MIKET;PODMUCH;Nie-słowo
KUZYN;ZIEMIA;Niepowiązane
ŚROT;MUZYKA;Nie-słowo
LAS;SMUTEK;Niepowiązane
TŁINS;LAMPA;Nie-słowo
DELFIN;BRAMA;Nie-słowo
MYSZKA;KOMPUTER;Powiązane
KRZESŁO;BIURKO;Powiązane
TATA;WIOSNA;Niepowiązane
KONTEP;GRY;Nie-słowo
IWET;AMYGT;Nie-słowo
BURGER;HOTDOG;Powiązane
ZASŁONA;KARNISZ;Powiązane
ONIKA;SKAŁA;Nie-słowo
ZIMA;BAŁWAN;Powiązane
BRATKAŁ;LETNIE;Nie-słowo
SKLEE;ZEGAR;Niepowiązane
MIASTO;ROŚLINA;Niepowiązane
SZAFA;UBRANIA;Powiązane
TUSZ;DŁUGOPIS;Powiązane
SZKRAB;ZIMA;Nie-słowo
SZIWAR;BAŁWAN;Nie-słowo
KSIĄŻKA;PSY;Niepowiązane
PIASEK;TUKET;Nie-słowo
MIKET;IGREL;Nie-słowo
MIŁOŚĆ;UCZUCIE;Powiązane
DZWONEK;ROWER;Powiązane
KSIEGARNIA;GŁOŚNIK;Niepowiązane
ŁADOWARKA;KABEL;Powiązane
PIKOT;ŻMÓR;Nie-słowo
JEZIORO;LETNIE;Niepowiązane
ZIEMIA;MARS;Powiązane
NAUCOT;PAKIET;Nie-słowo
ONIKA;ŻYTO;Nie-słowo
WICZK;BURZA;Nie-słowo
OKNO;BUŁKA;Niepowiązane
PIASEK;CHMURA;Nie-słowo
PIÓR;WIATR;Niepowiązane
RADIO;LETNIE;Niepowiązane
APTEGRA;LIŚĆ;Nie-słowo
MIKET;KSIĘŻYC;Nie-słowo
PRYWY;PARASOLKA;Nie-słowo
OBERL;SPOKÓJ;Nie-słowo
