Slowo1;Slowo2;Relacja
DOM;PEGAZ;Niepowiązane
PIES;SPOKÓJ;Niepowiązane
KOT;BŁYSKAWICZNY;Niepowiązane
SZKOŁA;SZCZĘŚCIE;Niepowiązane
KSIĄŻKA;PSY;Niepowiązane
NAUCZYCIEL;TOM;Niepowiązane
UCZEŃ;BRAMA;Niepowiązane
JABŁKO;FURTKA;Niepowiązane
KOMPUTER;PORANEK;Niepowiązane
BIURKO;NOC;Niepowiązane
OKNO;BUŁKA;Niepowiązane
OGRÓD;GWIAZDA;Niepowiązane
SAMOCHÓD;ŹRÓDŁO;Niepowiązane
ROWER;MROŹNO;Niepowiązane
MIASTO;ROŚLINA;Niepowiązane
WIEŚ;UCZUCIE;Niepowiązane
STÓŁ;GORĄCO;Niepowiązane
KRZESŁO;GRY;Niepowiązane
ZEGAR;UŚMIECH;Niepowiązane
TELEFON;CZERWIEŃ;Niepowiązane
RADIO;LETNIE;Niepowiązane
LAMPA;ZMARTWIENIE;Niepowiązane
DRZWI;NOCNIK;Niepowiązane
KLUCZ;ROZRYWKA;Niepowiązane
PIÓR;WIATR;Niepowiązane
DŁUGOPIS;BURZA;Niepowiązane
KARTKA;CHMURA;Niepowiązane
ZESZYT;TĘCZA;Niepowiązane
PLECAK;LATO;Niepowiązane
MAMA;ZIMA;Niepowiązane
TATA;WIOSNA;Niepowiązane
SIOSTRA;JESIEŃ;Niepowiązane
BRAT;PONIEDZIAŁEK;Niepowiązane
BABCIA;WTOREK;Niepowiązane
DZIADEK;KRZAK;Niepowiązane
KUZYN;ZIEMIA;Niepowiązane
CIOCIA;SŁOŃCE;Niepowiązane
WUJEK;KSIĘŻYC;Niepowiązane
KUZYNKA;GWIAZDA;Niepowiązane
PRZYJACIEL;PLANETA;Niepowiązane
KOLEGA;BIURKO;Niepowiązane
SĄSIAD;OKNO;Niepowiązane
ZNAJOMY;OGRÓD;Niepowiązane
LEKARZ;SAMOCHÓD;Niepowiązane
DENTYSTA;ROWER;Niepowiązane
KUCHARZ;MIASTO;Niepowiązane
KELNER;WIEŚ;Niepowiązane
MECHANIK;STÓŁ;Niepowiązane
FRYZJER;KRZESŁO;Niepowiązane
SKLEE;ZEGAR;Niepowiązane
PIEKARNIA;TELEFON;Niepowiązane
CUKIERNIA;RADIO;Niepowiązane
APTEKA;LAMPA;Niepowiązane
SZPITAL;DRZWI;Niepowiązane
PRZEDSZKOLE;KLUCZ;Niepowiązane
LICEUM;PAKIET;Niepowiązane
UNIWERSYTET;DŁUGOPIS;Niepowiązane
KSIEGARNIA;GŁOŚNIK;Niepowiązane
BIBLIOTEKA;POMPON;Niepowiązane
PARK;ROZRYWKA;Niepowiązane
LAS;SMUTEK;Niepowiązane
PLAŻA;MROŹNO;Niepowiązane
GÓRY;UŚMIECH;Niepowiązane
RZEKA;PTAK;Niepowiązane
JEZIORO;LETNIE;Niepowiązane
MORZE;GRY;Niepowiązane
OCEAN;BRAMA;Niepowiązane
POLE;ŻYTO;Powiązane
ŁĄKA;TRAWA;Powiązane
